  1   H   0.31                                                                                                                                                                                                                                                 
  2  HE   0.28                                                                                                                                                                                                                                                 
  3  LI   1.28                                                                                                                                                                                                                                                 
  4  BE   0.96                                                                                                                                                                                                                                                 
  5   B   0.84                                                                                                                                                                                                                                                 
  6   C   0.72                                                                                                                                                                                                                                                 
  7   N   0.71                                                                                                                                                                                                                                                 
  8   O   0.66                                                                                                                                                                                                                                                 
  9   F   0.57                                                                                                                                                                                                                                                 
 10  NE   0.58                                                                                                                                                                                                                                                 
 11  NA   1.66                                                                                                                                                                                                                                                 
 12  MG   1.41                                                                                                                                                                                                                                                 
 13  AL   1.21                                                                                                                                                                                                                                                 
 14  SI   1.11                                                                                                                                                                                                                                                 
 15   P   1.07                                                                                                                                                                                                                                                 
 16   S   1.05                                                                                                                                                                                                                                                 
 17  CL   1.02                                                                                                                                                                                                                                                 
 18  AR   1.06                                                                                                                                                                                                                                                 
 19   K   2.03                                                                                                                                                                                                                                                 
 20  CA   1.76                                                                                                                                                                                                                                                 
 21  SC   1.70                                                                                                                                                                                                                                                 
 22  TI   1.60                                                                                                                                                                                                                                                 
 23   V   1.53                                                                                                                                                                                                                                                 
 24  CR   1.39                                                                                                                                                                                                                                                 
 25  MN   1.60                                                                                                                                                                                                                                                 
 26  FE   1.50                                                                                                                                                                                                                                                 
 27  CO   1.50                                                                                                                                                                                                                                                 
 28  NI   1.24                                                                                                                                                                                                                                                 
 29  CU   1.32                                                                                                                                                                                                                                                 
 30  ZN   1.22                                                                                                                                                                                                                                                 
 31  GA   1.22                                                                                                                                                                                                                                                 
 32  GE   1.20                                                                                                                                                                                                                                                 
 33  AS   1.19                                                                                                                                                                                                                                                 
 34  SE   1.20                                                                                                                                                                                                                                                 
 35  BR   1.20                                                                                                                                                                                                                                                 
 36  KR   1.16                                                                                                                                                                                                                                                 
 37  RB   2.20                                                                                                                                                                                                                                                 
 38  SR   1.95                                                                                                                                                                                                                                                 
 39   Y   1.90                                                                                                                                                                                                                                                 
 40  ZR   1.75                                                                                                                                                                                                                                                 
 41  NB   1.64                                                                                                                                                                                                                                                 
 42  MO   1.54                                                                                                                                                                                                                                                 
 43  TC   1.47                                                                                                                                                                                                                                                 
 44  RU   1.46                                                                                                                                                                                                                                                 
 45  RH   1.42                                                                                                                                                                                                                                                 
 46  PD   1.39                                                                                                                                                                                                                                                 
 47  AG   1.45                                                                                                                                                                                                                                                 
 48  CD   1.44                                                                                                                                                                                                                                                 
 49  IN   1.42                                                                                                                                                                                                                                                 
 50  SN   1.39                                                                                                                                                                                                                                                 
 51  SB   1.39                                                                                                                                                                                                                                                 
 52  TE   1.38                                                                                                                                                                                                                                                 
 53   I   1.39                                                                                                                                                                                                                                                 
 54  XE   1.40                                                                                                                                                                                                                                                 
 55  CS   2.44                                                                                                                                                                                                                                                 
 56  BA   2.15                                                                                                                                                                                                                                                 
 57  LA   2.07                                                                                                                                                                                                                                                 
 58  CE   2.04                                                                                                                                                                                                                                                 
 59  PR   2.03                                                                                                                                                                                                                                                 
 60  ND   2.01                                                                                                                                                                                                                                                 
 61  PM   1.99                                                                                                                                                                                                                                                 
 62  SM   1.98                                                                                                                                                                                                                                                 
 63  EU   1.98                                                                                                                                                                                                                                                 
 64  GD   1.96                                                                                                                                                                                                                                                 
 65  TB   1.94                                                                                                                                                                                                                                                 
 66  DY   1.92                                                                                                                                                                                                                                                 
 67  HO   1.92                                                                                                                                                                                                                                                 
 68  ER   1.89                                                                                                                                                                                                                                                 
 69  TM   1.90                                                                                                                                                                                                                                                 
 70  YB   1.87                                                                                                                                                                                                                                                 
 71  LU   1.87                                                                                                                                                                                                                                                 
 72  HF   1.75                                                                                                                                                                                                                                                 
 73  TA   1.70                                                                                                                                                                                                                                                 
 74   W   1.62                                                                                                                                                                                                                                                 
 75  RE   1.51                                                                                                                                                                                                                                                 
 76  OS   1.44                                                                                                                                                                                                                                                 
 77  IR   1.41                                                                                                                                                                                                                                                 
 78  PT   1.36                                                                                                                                                                                                                                                 
 79  AU   1.36                                                                                                                                                                                                                                                 
 80  HG   1.32                                                                                                                                                                                                                                                 
 81  TL   1.45                                                                                                                                                                                                                                                 
 82  PB   1.46                                                                                                                                                                                                                                                 
 83  BI   1.48                                                                                                                                                                                                                                                 
 84  PO   1.40                                                                                                                                                                                                                                                 
 85  AT   1.50                                                                                                                                                                                                                                                 
 86  RN   1.50                                                                                                                                                                                                                                                 
 87  FR   2.60                                                                                                                                                                                                                                                 
 88  RA   2.21                                                                                                                                                                                                                                                 
 89  AC   2.15                                                                                                                                                                                                                                                 
 90  PA   2.00                                                                                                                                                                                                                                                 
 91   U   1.96                                                                                                                                                                                                                                                 
 92  NP   1.90                                                                                                                                                                                                                                                 
 93  PU   1.87                                                                                                                                                                                                                                                 
 94  AM   1.80                                                                                                                                                                                                                                                 
 95  CM   1.69                                                                                                                                                                                                                                                 
